What: 	Sunday Bhagavad-gita Class
Who: 	His Grace Sundar Gopal Prabhu
Where: 	SKM Singapore
When: 	Sunday 23 November 2014

7.21	http://vedabase.com/en/bg/7/21

18.66	http://vedabase.com/en/bg/18/66

7.22	http://vedabase.com/en/bg/7/22

CCM 22.37	http://vedabase.com/en/cc/madhya/22/37

9.10	http://vedabase.com/en/bg/9/10
10.39	http://vedabase.com/en/bg/10/39

3.29.40	http://vedabase.com/en/sb/3/29/40
3.29.41	http://vedabase.com/en/sb/3/29/41
3.29.42	http://vedabase.com/en/sb/3/29/42
3.29.43	http://vedabase.com/en/sb/3/29/43
3.29.44	http://vedabase.com/en/sb/3/29/44
3.29.45	http://vedabase.com/en/sb/3/29/45

9.23	http://vedabase.com/en/bg/9/23

2.3.10	http://vedabase.com/en/sb/2/3/10

7.20	http://vedabase.com/en/bg/7/20
7.23	http://vedabase.com/en/bg/7/23

9.21	http://vedabase.com/en/bg/9/21
15.6	http://vedabase.com/en/bg/15/6
8.15	http://vedabase.com/en/bg/8/15

5.19.27	http://vedabase.com/en/sb/5/19/27

CCM 22.42	http://vedabase.com/en/cc/madhya/22/42

7.19	http://vedabase.com/en/bg/7/19
3.9	http://vedabase.com/en/bg/3/9
4.11	http://vedabase.com/en/bg/4/11
8.7	http://vedabase.com/en/bg/8/7

18.57	http://vedabase.com/en/bg/18/57
18.58	http://vedabase.com/en/bg/18/58

3.27	http://vedabase.com/en/bg/3/27
4.14	http://vedabase.com/en/bg/4/14
9.27	http://vedabase.com/en/bg/9/27
