What: 	Tuesday Bhagavad-gita Class
Who: 	His Grace Sundar Gopal Prabhu
Where: 	SKM Singapore
When:	Tuesday 02 December 2014 6pm IST

7.29	http://vedabase.com/en/bg/7/29
2.20	http://vedabase.com/en/bg/2/20
2.13	http://vedabase.com/en/bg/2/13
4.10	http://vedabase.com/en/bg/4/10
7.7.30-31	http://vedabase.com/en/sb/7/7/30-31
8.5	http://vedabase.com/en/bg/8/5
2.4.21	http://vedabase.com/en/sb/2/4/21
2.1.6	http://vedabase.com/en/sb/2/1/6
1.7.5	http://vedabase.com/en/sb/1/7/5
3.25.41	http://vedabase.com/en/sb/3/25/41
5.5.6	http://vedabase.com/en/sb/5/5/6
7.6.11-13	http://vedabase.com/en/sb/7/6/11-13
7.7.28	http://vedabase.com/en/sb/7/7/28
7.7.29	http://vedabase.com/en/sb/7/7/29
7.7.30-31	http://vedabase.com/en/sb/7/7/30-31
7.7.32	http://vedabase.com/en/sb/7/7/32
8.5	http://vedabase.com/en/bg/8/5
pp 413 sloka
MMS (mukunda mala stotra) something
6.3.26	http://vedabase.com/en/sb/6/3/26
6.3.28	http://vedabase.com/en/sb/6/3/28
6.3.29	http://vedabase.com/en/sb/6/3/29
6.3.30	http://vedabase.com/en/sb/6/3/30
6.3.31	http://vedabase.com/en/sb/6/3/31
1.7.7	http://vedabase.com/en/sb/1/7/7
18.66	http://vedabase.com/en/bg/18/66
8.7	http://vedabase.com/en/bg/8/7
33 million devas (demigods)
8.16	http://vedabase.com/en/bg/8/16
5.5.9	http://vedabase.com/en/sb/5/5/9
11.20.27-28	http://vedabase.com/en/sb/11/20/27-28
5.5.3	http://vedabase.com/en/sb/5/5/3
5.19.19	http://vedabase.com/en/sb/5/19/19
5.19.20	http://vedabase.com/en/sb/5/19/20
5.19.21	http://vedabase.com/en/sb/5/19/21
5.19.22	http://vedabase.com/en/sb/5/19/22
1989 pigeon in SKM Singapore

