# What:		Sunday BG Class
# Who:		His Grace Sundar Gopal Prabhu
# Where:	SKM Singapore
# When:		Sunday 7 December 2014 12 noon IST

18.78	http://vedabase.com/en/bg/18/78
6.16.64P	http://vedabase.com/en/sb/6/16/64 read purport
3.25.38	http://vedabase.com/en/sb/3/25/38
9.22	http://vedabase.com/en/bg/9/22
5.19.27	http://vedabase.com/en/sb/5/19/27
ISO 1	http://vedabase.com/en/iso/1
ISO 2	http://vedabase.com/en/iso/2
11.2.45	http://vedabase.com/en/sb/11/2/45
10.88.8	http://vedabase.com/en/sb/10/88/8
10.88.9	http://vedabase.com/en/sb/10/88/9
10.88.10	http://vedabase.com/en/sb/10/88/10
10.88.11	http://vedabase.com/en/sb/10/88/11
CCM 22.42	http://vedabase.com/en/cc/madhya/22/42

3.25.26	http://vedabase.com/en/sb/3/25/26
3.25.27	http://vedabase.com/en/sb/3/25/27

NOI 4	http://vedabase.com/en/noi/4

