# What:		Sunday BG Class
# Who:		His Grace Sundar Gopal Prabhu
# Where:	SKM Singapore
# When:		Sunday 14 December 2014 12:25 pm IST

9.30	http://vedabase.com/en/bg/9/30
11.2.47	http://vedabase.com/en/sb/11/2/47
3.29.8	http://vedabase.com/en/sb/3/29/8
11.5.42	http://vedabase.com/en/sb/11/5/42
9.1	http://vedabase.com/en/bg/9/1
9.3	http://vedabase.com/en/bg/9/3
7.6.28	http://vedabase.com/en/sb/7/6/28
7.7.30-31	http://vedabase.com/en/sb/7/7/30-31
2.63	http://vedabase.com/en/bg/2/63
11.28.27	http://vedabase.com/en/sb/11/28/27
11.28.28	http://vedabase.com/en/sb/11/28/28
11.28.29	http://vedabase.com/en/sb/11/28/29
11.28.30	http://vedabase.com/en/sb/11/28/30
11.14.26	http://vedabase.com/en/sb/11/14/26
11.20.27-28	http://vedabase.com/en/sb/11/20/27-28
5.6.5	http://vedabase.com/en/sb/5/6/5
5.6.6	http://vedabase.com/en/sb/5/6/6

