# What:		Sunday BG Class
# Who:		His Grace Sundar Gopal Prabhu
# Where:	SKM Singapore
# When:		Sunday 21 December 2014 12 noon

4.7	http://vedabase.com/en/bg/4/7
6.3.19	http://vedabase.com/en/sb/6/3/19
7.9.38	http://vedabase.com/en/sb/7/9/38
15.7	http://vedabase.com/en/bg/15/7
VP 6.5.47	http://vedabase.com/en/sb/VP 6/5/47
5.14.43P	http://vedabase.com/en/sb/5/14/43 read purport
SSR1c
2.2	http://vedabase.com/en/bg/2/2
3.22P	http://vedabase.com/en/bg/3/22 read purport
SU 6.7-8	http://vedabase.com/en/bg/SU 6/7-8
"He does not posess ..."	http://vedabase.com/en/something/"He does not posess ///"
4.6	http://vedabase.com/en/bg/4/6
5.5.19	http://vedabase.com/en/sb/5/5/19
7.7.18	http://vedabase.com/en/sb/7/7/18
2.17	http://vedabase.com/en/bg/2/17
CCM 19.140	http://vedabase.com/en/cc/madhya/19/140
2.20	http://vedabase.com/en/bg/2/20
11.4	http://vedabase.com/en/bg/11/4
11.5	http://vedabase.com/en/bg/11/5
11.6	http://vedabase.com/en/bg/11/6
11.7	http://vedabase.com/en/bg/11/7
11.8	http://vedabase.com/en/bg/11/8
11.9	http://vedabase.com/en/bg/11/9
4.34	http://vedabase.com/en/bg/4/34
1.29	http://vedabase.com/en/bg/1/29
9.27	http://vedabase.com/en/bg/9/27
9.3	http://vedabase.com/en/bg/9/3
16.24	http://vedabase.com/en/bg/16/24
18.66	http://vedabase.com/en/bg/18/66
18.82 silicon valley	http://vedabase.com/en/bg/18/82 silicon valley
6.7.14 material education	http://vedabase.com/en/sb/6/7/14 material education
16.23	http://vedabase.com/en/bg/16/23
CCM 17.186	http://vedabase.com/en/cc/madhya/17/186
6.3.20	http://vedabase.com/en/sb/6/3/20
1.18.13	http://vedabase.com/en/sb/1/18/13
CCM 24.313	http://vedabase.com/en/cc/madhya/24/313
