What:	Sunday Bhagavad-gita Class
Who: 	His Grace Sundar Gopal Das
Where: 	SKM Singapore
When: 	Sunday 25 January 2015

4.38	http://vedabase.com/en/bg/4/38
4.34	http://vedabase.com/en/bg/4/34
5.22	http://vedabase.com/en/bg/5/22
15.19	http://vedabase.com/en/bg/15/19
1.2.7	http://vedabase.com/en/sb/1/2/7
1.2.12	http://vedabase.com/en/sb/1/2/12
4.35	http://vedabase.com/en/bg/4/35
5.16	http://vedabase.com/en/bg/5/16
11.29.6	http://vedabase.com/en/sb/11/29/6
10.10	http://vedabase.com/en/bg/10/10
10.11	http://vedabase.com/en/bg/10/11
15.15	http://vedabase.com/en/bg/15/15
7.5.31	http://vedabase.com/en/sb/7/5/31
ISO 11	http://vedabase.com/en/iso/11
5.5.5	http://vedabase.com/en/sb/5/5/5
11.9.29	http://vedabase.com/en/sb/11/9/29
7.14	http://vedabase.com/en/bg/7/14
7.3	http://vedabase.com/en/bg/7/3
7.19	http://vedabase.com/en/bg/7/19
11.3.21	http://vedabase.com/en/sb/11/3/21
CCM 17.186	http://vedabase.com/en/cc/madhya/17/186
1.2.8	http://vedabase.com/en/sb/1/2/8

Q&A

9.22	http://vedabase.com/en/bg/9/22
3.27	http://vedabase.com/en/bg/3/27
18.61	http://vedabase.com/en/bg/18/61
7.25	http://vedabase.com/en/bg/7/25
5.5.19	http://vedabase.com/en/sb/5/5/19
5.5.18	http://vedabase.com/en/sb/5/5/18
5.5.15	http://vedabase.com/en/sb/5/5/15
14.15	http://vedabase.com/en/bg/14/15

